Count,snowDepth,Calibration,Distance Measured,Datetime,Latitude,Longitude,Altitude,Sat Count,HDOP,GGA,RMC
82,61,190,129,0000-00-00 00:00:00+0000,43.302935,-115.280909,1659.3075,32,0.5,"$GPGGA,223814.40,4318.1760928,N,11516.8545270,W,2,32,0.5,1659.3075,M,-18.2524,M,4.0,0131*43","$GPRMC,223814.60,A,4318.1760958,N,11516.8545323,W,0.1,,060225,12.3,E,D*30"
83,69,190,121,2025-02-06 22:38:38+0000,43.302896,-115.280921,1658.6857,31,0.5,"$GPGGA,223837.80,4318.1737895,N,11516.8552433,W,2,31,0.5,1658.6857,M,-18.2525,M,3.4,0131*41","$GPRMC,223838.00,A,4318.1737960,N,11516.8552526,W,0.0,,060225,12.3,E,D*35"
84,72,190,118,0000-00-00 00:00:00+0000,43.302859,-115.280918,1658.9585,30,0.5,"$GPGGA,223856.00,4318.1715309,N,11516.8551043,W,2,30,0.5,1658.9585,M,-18.2525,M,3.6,0131*4E","$GPRMC,223856.20,A,4318.1715325,N,11516.8551020,W,0.0,,060225,12.3,E,D*34"
85,72,190,118,0000-00-00 00:00:00+0000,43.302821,-115.280921,1658.2442,29,0.5,"$GPGGA,223911.20,4318.1692412,N,11516.8552841,W,2,29,0.5,1658.2442,M,-18.2525,M,3.0,0131*4B","$GPRMC,223911.40,A,4318.1692410,N,11516.8552774,W,0.0,,060225,12.3,E,D*3A"
86,74,190,116,0000-00-00 00:00:00+0000,43.30278,-115.280927,1658.3526,29,0.5,"$GPGGA,223925.60,4318.1668029,N,11516.8556427,W,2,29,0.5,1658.3526,M,-18.2525,M,3.2,0131*49","$GPRMC,223925.80,A,4318.1668009,N,11516.8556468,W,0.0,,060225,12.3,E,D*32"
87,70,190,120,0000-00-00 00:00:00+0000,43.302744,-115.280934,1658.4378,29,0.5,"$GPGGA,223942.20,4318.1646656,N,11516.8560365,W,2,29,0.5,1658.4378,M,-18.2525,M,1.8,0131*48","$GPRMC,223942.40,A,4318.1646745,N,11516.8560312,W,0.0,,060225,12.3,E,D*33"
88,73,190,117,2025-02-06 22:40:00+0000,43.302709,-115.280939,1658.2305,29,0.5,"$GPGGA,223959.80,4318.1625406,N,11516.8563489,W,2,29,0.5,1658.2305,M,-18.2525,M,1.4,0131*4C","$GPRMC,224000.00,A,4318.1625400,N,11516.8563627,W,0.0,,060225,12.3,E,D*38"
89,72,190,118,2025-02-06 22:40:32+0000,43.302668,-115.280939,1658.0216,28,0.5,"$GPGGA,224031.80,4318.1600940,N,11516.8563249,W,2,28,0.5,1658.0216,M,-18.2525,M,3.4,0131*4C","$GPRMC,224032.00,A,4318.1600935,N,11516.8563327,W,0.0,,060225,12.3,E,D*30"
90,73,190,117,0000-00-00 00:00:00+0000,43.302621,-115.28094,1657.7008,28,0.5,"$GPGGA,224056.20,4318.1572687,N,11516.8564156,W,2,28,0.5,1657.7008,M,-18.2525,M,3.8,0131*46","$GPRMC,224056.40,A,4318.1572716,N,11516.8564198,W,0.0,,060225,12.3,E,D*3E"
91,74,190,116,2025-02-06 22:41:12+0000,43.302579,-115.280939,1657.4598,30,0.5,"$GPGGA,224111.80,4318.1547334,N,11516.8563614,W,2,30,0.5,1657.4598,M,-18.2525,M,1.4,0131*4B","$GPRMC,224112.00,A,4318.1547232,N,11516.8563579,W,0.0,,060225,12.3,E,D*32"
